specialty	institution	city	state
Anesthesiology	MGB-Brigham & Women's Hospital	Boston	MA
Anesthesiology	Emory University School of Medicine	Atlanta	GA
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	UT Southwestern Medical Center	Dallas	TX
Anesthesiology	UC San Diego Medical Center	San Diego	CA
Dermatology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Dermatology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Dermatology	Stanford Health Care	Stanford	CA
Emergency Medicine	ISMMS Mount Sinai Hospital	New York	NY
Emergency Medicine	MGB-Massachusetts General Hospital	Boston	MA
Emergency Medicine	NYP Hosp-Columbia/Cornell	New York	NY
Emergency Medicine	NYP Hosp-Columbia/Cornell	New York	NY
Emergency Medicine	NYP Hosp-Columbia/Cornell	New York	NY
Emergency Medicine	Stanford Health Care	Stanford	CA
Emergency Medicine	Stanford Health Care	Stanford	CA
Emergency Medicine	SUNY HSC Brooklyn	Brooklyn	NY
Emergency Medicine	Temple University Hospital	Philadelphia	PA
Emergency Medicine	University of Chicago Medical Center	Chicago	IL
Emergency Medicine	UCSF-Fresno	Fresno	CA
Family Medicine	Cambridge Health Alliance	Cambridge	MA
Family Medicine	Family Health Centers of San Diego	San Diego	CA
Family Medicine	Hospital of the University of Pennsylvania	Philadelphia	PA
Family Medicine	In His Image Family Medicine	Tulsa	OK
Family Medicine	University of Colorado School of Medicine	Aurora	CO
Family Medicine	University of Washington Affiliated Hospitals	Seattle	WA
Internal Medicine	MGB-Brigham & Women's Hospital	Boston	MA
Internal Medicine	Hospital of the University of Pennsylvania	Philadelphia	PA
Internal Medicine	Hospital of the University of Pennsylvania	Philadelphia	PA
Internal Medicine	ISMMS Mount Sinai Hospital	New York	NY
Internal Medicine	ISMMS Mount Sinai Hospital	New York	NY
Internal Medicine	Kaiser Permanente	Oakland	CA
Internal Medicine	Kaiser Permanente	Oakland	CA
Internal Medicine	MGB-Massachusetts General Hospital	Boston	MA
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Medical Center	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Medical Center	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Medical Center	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Medical Center	New York	NY
Internal Medicine	NYU Grossman School of Medicine	New York	NY
Internal Medicine	NYU Grossman School of Medicine	New York	NY
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	UC San Francisco	San Francisco	CA
Internal Medicine	UT Southwestern Medical Center	Dallas	TX
Internal Medicine	Yale-New Haven Hospital	New Haven	CT
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine (Prelim)	ISMMS Mount Sinai Morningside-West	New York	NY
Internal Medicine (Prelim)	Memorial Healthcare System	Hollywood	FL
Internal Medicine (Prelim)	Northwestern McGaw/NMH/VA	Chicago	IL
Internal Medicine (Prelim)	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine (Prelim)	Yale-New Haven Hospital	New Haven	CT
Internal Medicine/Pediatrics	University of North Carolina Hospitals	Chapel Hill	NC
Internal Medicine/Pediatrics	Yale-New Haven Hospital	New Haven	CT
Neurological Surgery	UT Austin Dell Medical School	Austin	TX
Neurological Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology (Child)	Boston Children's Hospital	Boston	MA
Neurology (Child)	NYU Grossman School of Medicine	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	Yale-New Haven Hospital	New Haven	CT
