specialty	institution	city	state
General Surgery	Rutgers-New Jersey Medical Center	Newark	NJ
General Surgery	Dignity East Valley	Chandler	AZ
General Surgery	Montefiore Medical Center/Einstein	Bronx	NY
General Surgery	Cleveland Clinic	Cleveland	OH
General Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
General Surgery	UMPC Mercy Hospital	Pittsburgh	PA
General Surgery/Research	University of Colorado School of Medicine-Denver	Aurora	CO
General Surgery	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
General Surgery	Ohio State University Medical Center	Columbus	OH
General Surgery	MGB-Brigham & Women's Hospital	Boston	MA
Internal Medicine/Primary Care	Yale New Haven Hospital	New Haven	CT
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine	NYU Grossman School of Medicine	New York	NY
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	Marshall University School of Medicine	Huntington	WV
Internal Medicine	Loyola University Medical Center	Maywood	IL
Internal Medicine	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine	Thomas Jefferson University	Philadelphia	PA
Internal Medicine	Loyola University Medical Center	Maywood	IL
Internal Medicine	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine	University Hospitals Community Consortium	Chardon	OH
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	Cleveland Clinic	Cleveland	OH
Internal Medicine	Ichan School of Medicine at Mount Sinai Hospital	New York	NY
Internal Medicine	MGB-Massachusetts General Hospital	Boston	MA
Internal Medicine	University Hospitals Community Consortium	Chardon	OH
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine/ABIM Research Path	Vanderbilt University Medical Center	Nashville	TN
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine/Primary Care	Boston University Medical Center	Boston	MA
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	University of North Carolina Hospitals	Chapel Hill	NC
Internal Medicine	New York Presbyterian/Columbia University Medical Center	New York	NY
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine/Primary Care	UC Davis Medical Center	Sacramento	CA
Internal Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Internal Medicine	Dignity Health St. Rose Dominican Hospital	Las Vegas	NV
Internal Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Internal Medicine/Community Primary Care	Ichan School of Medicine at Mount Sinai Hospital	New York	NY
Internal Medicine	UC San Francisco	San Francisco	CA
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	University of Iowa Hospitals & Clinics	Iowa City	IA
Internal Medicine	Yale New Haven Hospital	New Haven	CT
Internal Medicine/Clinical Scientist	University of Cincinnati Medical Center	Cincinnati	OH
Internal Medicine/Physician Scientist	Yale New Haven Hospital	New Haven	CT
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	Loma Linda University Medical Center-Murrieta	Murrieta	CA
Internal Medicine	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine	UCLA Medical Center	Torrance	CA
Internal Medicine-Pediatrics	UCLA Medical Center	Los Angeles	CA
Internal Medicine-Pediatrics	University of North Carolina Hospitals	Chapel Hill	NC
Internal Medicine-Pediatrics	Ohio State University Medical Center	Columbus	OH
Internal Medicine-Pediatrics	Brown University/Rhode Island Hospital	Providence	RI
Interventional Radiology-Integrated	Stanford Health Care	Stanford	CA
Interventional Radiology-Integrated	University of Michigan Medical Center	Ann Arbor	MI
Neurological Surgery	Cleveland Clinic	Cleveland	OH
Neurological Surgery	Ohio State University Medical Center	Columbus	OH
Neurological Surgery	Cleveland Clinic	Cleveland	OH
Neurological Surgery	University of Miami/Jackson Health System	Miami	FL
Neurological Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurological Surgery	Oregon Health & Science University	Portland	OR
Neurology	Cleveland Clinic	Cleveland	OH
Neurology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurology	MGB-Massachusetts General Brigham	Boston	MA
Neurology	Johns Hopkins Hospital	Baltimore	MD
Neurology	UC Davis Medical Center	Sacramento	CA
Neurology	Madigan Army Medical Center	Tacoma	WA
Neurology	Brown University/Rhode Island Hospital	Providence	RI
Neurology	Oregon Health & Science University	Portland	OR
Obstetrics-Gynecology	University of Wisconsin Hospital and Clinics	Madison	WI
Obstetrics-Gynecology	Texas Tech University Health Sciences Center	Lubbock	TX
Obstetrics-Gynecology	Maimonides Medical Center	Brooklyn	NY
Obstetrics-Gynecology	Loyola University Medical Center	Maywood	IL
Obstetrics-Gynecology	Ascension St. Vincent Hospital	Indianapolis	IN
Obstetrics-Gynecology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics-Gynecology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics-Gynecology	Brown University/Women & Infant's Hospital of Rhode Island	Providence	RI
Obstetrics-Gynecology	Indiana University School of Medicine	Indianapolis	IN
Obstetrics-Gynecology	Cleveland Clinic	Cleveland	OH
Obstetrics-Gynecology	Beth Israel Deaconess Medical Center	Boston	MA
Obstetrics-Gynecology	Cleveland Clinic	Cleveland	OH
Obstetrics-Gynecology	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Obstetrics-Gynecology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics-Gynecology	Western Pennsylvania Hospital	Pittsburgh	PA
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Henry Ford Hospital	Detroit	MI
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Illinois Eye and Ear Infirmary	Chicago	IL
Ophthalmology	Duke University	Durham	NC
Ophthalmology	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Ophthalmology	Cleveland Clinic Cole Eye Institute	Cleveland	OH
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Cleveland Clinic Cole Eye Institute	Cleveland	OH
Ophthalmology	Joint Base San Antonio	San Antonio	TX
Orthopaedic Surgery	Corewell Health	Royal Oak	MI
Orthopaedic Surgery	University of Michigan Medical Center	Ann Arbor	MI
Orthopaedic Surgery	University of Nebraska Medical Center	Omaha	NE
Orthopaedic Surgery	University of Virginia	Charlottesville	VA
Orthopaedic Surgery	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Orthopaedic Surgery	Cleveland Clinic	Cleveland	OH
Otolaryngology	Cleveland Clinic	Cleveland	OH
Otolaryngology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Otolaryngology	Kirk Kerkorian School of Medicine	Las Vegas	NV
Otolaryngology	Wayne State University School of Medicine	Detroit	MI
Otolaryngology	Oregon Health & Science University	Portland	OR
Otolaryngology	Temple University Hospital	Philadelphia	PA
Otolaryngology	Indiana University School of Medicine	Indianapolis	IN
Otolaryngology	Cleveland Clinic	Cleveland	OH
Otolaryngology	University of Kansas School of Medicine	Kansas City	KS
Otolaryngology	Zucker School of Medicine-Northwell	New Hyde Park	NY
Pediatrics	Nationwide Children's Hospital	Columbus	OH
Pediatrics	University of Chicago Medical Center	Chicago	IL
Pediatrics	Nationwide Children's Hospital	Columbus	OH
Pediatrics	Emory University School of Medicine	Atlanta	GA
Pediatrics	Vanderbilt University Medical Center	Nashville	TN
Pediatrics	UCLA Medical Center	Los Angeles	CA
Pediatrics	Stanford Health Care	Stanford	CA
Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics	Northwestern McGaw/Lurie Children's	Chicago	IL
Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics/PPSTP	University of Michigan Medical Center	Ann Arbor	MI
Pediatrics-Medical Genetics	Children's National Medical Center	Washington	DC
Physical Medicine & Rehabilitation	Northwestern McGaw/Shirley Ryan Ability Lab	Chicago	IL
Physical Medicine & Rehabilitation	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Physical Medicine & Rehabilitation	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Plastic Surgery-Integrated	University of Texas Medical Branch	Galveston	TX
Plastic Surgery-Integrated	University of Rochester/Strong Memorial	Rochester	NY
Psychiatry	UC San Diego Medical Center	San Diego	CA
Psychiatry	MGB-Brigham & Women's Hospital	Boston	MA
Psychiatry	MGB-Massachusetts General Hospital	Boston	MA
Psychiatry	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Psychiatry	Rosalind Franklin University of Medicine and Science/Chicago Medical School	North Chicago	IL
Psychiatry	UC San Francisco-Fresno	Fresno	CA
Psychiatry-Family Medicine	Boston University Medical Center	Boston	MA
Radiology-Diagnostic/Research	Barnes Jewish Hospital	St. Louis	MO
Radiology-Diagnostic	Montefiore Medical Center/Einstein	Bronx	NY
Radiology-Diagnostic	Johns Hopkins Hospital	Baltimore	MD
Radiology-Diagnostic	Vanderbilt University Medical Center	Nashville	TN
Radiology-Diagnostic	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Radiology-Diagnostic	MGB-Massachusetts General Hospital	Boston	MA
Thoracic Surgery-Integrated	Cleveland Clinic	Cleveland	OH
Transitional	St. Agnes Medical Center	Fresno	CA
Urology	Ohio State University Medical Center	Columbus	OH
Urology	Rutgers Health/Rutgers Robert Wood Johnson Medical School	New Brunswick	NJ
Urology	MGB-Massachusetts General Hospital	Boston	MA
Urology	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Urology	Indiana University Medical Center	Indianapolis	IN
Urology	Brown University/Rhode Island Hospital	Providence	RI
