specialty	institution	city	state
Internal Medicine	Cedars - Sinai Med Center	Los Angeles	CA
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	Loyola University Medical Center	Maywood	IL
Internal Medicine	Tulane University School of Medicine	New Orleans	LA
Internal Medicine	Icahn School of Medicine at Mount Sinai	New York	NY
Internal Medicine	Icahn School of Medicine at Mount Sinai	New York	NY
Internal Medicine	Icahn School of Medicine at Mount Sinai	New York	NY
Internal Medicine	New York Presbyterian Hospital - Columbia University Medical Center	New York	NY
Internal Medicine	NYU Grossman School of Medicine	New York	NY
Internal Medicine	UC Irvine Medical Center	Orange	CA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine	Brown University/Rhode Island Hospital	Providence	RI
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	University of Utah Health	Salt Lake City	UT
Internal Medicine	University of California San Diego Medical Center	San Diego	CA
Internal Medicine	University of California San Francisco Medical Center	San Francisco	CA
Internal Medicine	Barnes - Jewish Hospital	St Louis	MO
Internal Medicine	Barnes - Jewish Hospital	St Louis	MO
Internal Medicine/ABIM Research Path	Vanderbilt University Medical Center	Nashville	TN
Internal Medicine/ABIM Research Path	University of Pittsburgh Medical Center	Pittsburgh	PA
Internal Medicine/MPH	Kaiser Permanente	Oakland	CA
Internal Medicine/Research	New York Presbyterian Hospital - Weill Cornell Med Center	New York	NY
Internal Medicine/Pediatrics	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine/Pediatrics	University of Maryland Medical Center	Baltimore	MD
Internal Medicine/Pediatrics	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Interventional Radiology (Integrated)	University of Michigan Medical Center	Ann Arbor	MI
Interventional Radiology (Integrated)	Medical College of Wisconsin Affiliated Hospitals	Milwaukee	WI
Neurological Surgery	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurological Surgery	UCLA Medical Center	Los Angeles	CA
Neurological Surgery	Vanderbilt University Medical Center	Nashville	TN
Neurological Surgery	LSU Health New Orleans School of Medicine	New Orleans	LA
Neurology	Beth Israel Deaconess Medical Center	Boston	MA
Neurology	University of North Carolina Hospitals	Chapel Hill	NC
Neurology	Duke University Medical Center	Durham	NC
Neurology	Yale - New Haven Hospital	New Haven	CT
Neurology	New York Presbyterian Hospital - Columbia University Medical Center	New York	NY
Neurology	Virginia Commonwealth University Health System	Richmond	VA
Neurology	Barnes - Jewish Hospital	St Louis	MO
Obstetrics and Gynecology	Lehigh Valley Hospital	Allentown	PA
Obstetrics and Gynecology	Brigham & Women's Hospital	Boston	MA
Obstetrics and Gynecology	New York- Presbyterian Brooklyn Methodist Hospital	Brooklyn	NY
Obstetrics and Gynecology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics and Gynecology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics and Gynecology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics and Gynecology	University of Florida College of Medicine - Shands Hospital	Gainesville	FL
Obstetrics and Gynecology	UCLA Medical Center	Los Angeles	CA
Obstetrics and Gynecology	Texas Tech University Health Sciences Center - Permian Basin	Odessa	TX
Ophthalmology	University of Chicago	Chicago	IL
Ophthalmology	Cleveland Clinic	Cleveland	OH
Ophthalmology	Cleveland Clinic	Cleveland	OH
Ophthalmology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Ohio State University Medical Center	Columbus	OH
Ophthalmology	Henry Ford Hospital	Detroit	MI
Ophthalmology	Duke University Medical Center	Durham	NC
Ophthalmology	Keck Medicine of USC - USC Roski Eye Institute	Los Angeles	CA
Ophthalmology	University of Pittsburgh Medical Center	Pittsburgh	PA
Ophthalmology	University of Texas Health Science Center	San Antonio	TX
Ophthalmology	George Washington University	Washington	DC
Oral/Maxillofacial Surgery	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral/Maxillofacial Surgery	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral/Maxillofacial Surgery	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Orthopaedic Surgery	University of Virginia	Charlottesville	VA
Orthopaedic Surgery	Cleveland Clinic	Cleveland	OH
Orthopaedic Surgery	Cleveland Clinic	Cleveland	OH
Orthopaedic Surgery	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Orthopaedic Surgery	University of Wisconsin Hospital and Clinics	Madison	WI
Orthopaedic Surgery	Medical College of Wisconsin Affiliated Hospitals	Milwaukee	WI
Orthopaedic Surgery	NYU Grossman School of Medicine	New York	NY
Orthopaedic Surgery	Oregon Health & Science University	Portland	OR
Orthopaedic Surgery	University of Rochester/Strong Memorial	Rochester	NY
Orthopaedic Surgery	Beaumont Health	Royal Oak	MI
Orthopaedic Surgery	University of Washington Affiliate Hospitals	Seattle	WA
Orthopaedic Surgery	Massachusetts General Hospital-Harvard Combined	Boston	MA
Orthopaedic Surgery/Research 6 yr	University of North Carolina Hospitals	Chapel Hill	NC
Otolaryngology	Johns Hopkins Hospital	Baltimore	MD
Otolaryngology	University of Maryland Medical Center	Baltimore	MD
Otolaryngology	Cleveland Clinic	Cleveland	OH
Otolaryngology	University of Tennessee Health Science Center	Memphis	TN
Otolaryngology	Stanford Health Care	Stanford	CA
Pathology/CP Research	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Pathology-Anatomic and Clinical	Brigham & Women's Hospital	Boston	MA
Pediatrics	University of Michigan Medical Center	Ann Arbor	MI
Pediatrics	Boston Children's Hospital	Boston	MA
Pediatrics	Northwestern McGaw/Lurie Children's	Chicago	IL
Pediatrics	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics	University of Minnesota Medical School	Minneapolis	MN
Pediatrics	Vanderbilt University Medical Center	Nashville	TN
Pediatrics	Yale - New Haven Hospital	New Haven	CT
Pediatrics	Children's Hospital - Philadelphia	Philadelphia	PA
Pediatrics	University of Rochester/Strong Memorial	Rochester	NY
Pediatrics	Children's National Medical Center	Washington	DC
Pediatrics/Medical Genetics	Cincinnati Children's Hospital Medical Center	Cincinnati	OH
Physical Medicine and Rehabilitation	Cleveland Clinic	Cleveland	OH
Physical Medicine and Rehabilitation	CWRU/MetroHealth Medical Center	Cleveland	OH
Plastic Surgery (Integrated)	Cleveland Clinic	Cleveland	OH
Plastic Surgery (Integrated)	UCLA Medical Center	Los Angeles	CA
Plastic Surgery (Integrated)	UC Davis Medical Center	Sacramento	CA
Psychiatry	University New Mexico School of Medicine	Albuquerque	NM
Psychiatry	Harvard South Shore	Brockton	MA
Psychiatry	Northwestern McGaw/NMH/VA	Chicago	IL
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Psychiatry	Ohio State University Medical Center	Columbus	OH
Psychiatry	Ohio State University Medical Center	Columbus	OH
Psychiatry	Texas Institute for Graduate Medical Education and Research	San Antonio	TX
Psychiatry	University of Arizona College of Medicine	Tucson	AZ
Radiation Oncology	Emory University School of Medicine	Atlanta	GA
Radiation Oncology	Cleveland Clinic	Cleveland	OH
Radiology-Diagnostic	Northwestern McGaw/NMH/VA	Chicago	IL
Radiology-Diagnostic	Cleveland Clinic	Cleveland	OH
Radiology-Diagnostic	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Radiology-Diagnostic	Ohio State University Medical Center	Columbus	OH
Radiology-Diagnostic	Ohio State University Medical Center	Columbus	OH
Radiology-Diagnostic	Henry Ford Hospital	Detroit	MI
Radiology-Diagnostic	Penn State Hershey Medical Center	Hershey	PA
Radiology-Diagnostic	Madigan Army Medical Center	Joint Base Lewis-McChord	WA
Radiology-Diagnostic	Hospital of the University of Pennsylvania	Philadelphia	PA
Radiology-Diagnostic	MedStar Georgetown University Hospital	Washington	DC
Radiology-Diagnostic	University of Massachusetts Chan Medical School	Worcester	MA
Surgery-General	University of Maryland Medical Center	Baltimore	MD
Surgery-General	Beth Israel Deaconess Medical Center	Boston	MA
Surgery-General	Cleveland Clinic	Cleveland	OH
Surgery-General	Cleveland Clinic	Cleveland	OH
Surgery-General	Cleveland Clinic	Cleveland	OH
Surgery-General	CWRU/MetroHealth Medical Center	Cleveland	OH
Surgery-General	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Surgery-General	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Surgery-General	Hospital of the University of Pennsylvania	Philadelphia	PA
Surgery-General	University of California San Francisco Medical Center	San Francisco	CA
Urology	University of Michigan Medical Center	Ann Arbor	MI
Urology	Rush University Medical Center	Chicago	IL
Urology	CWRU/University Hospitals Cleveland Medical Center	Cleveland	OH
Urology	University of Florida College of Medicine	Gainesville	FL
Urology	University of California San Francisco Medical Center	San Francisco	CA
Vascular Surgery	Cleveland Clinic	Cleveland	OH
